epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,3978.49,0.57137,0.6823,0.42161,0.85882,0.90947,0.84113,0.90962,0.73247,0.86006,0.85304,0.88948,0.54483,0.77465,0.96596,0.5211,0.90777,0.000563187,0.000563187,0.000563187
113,4013.63,0.57235,0.69778,0.43489,0.86112,0.90655,0.85449,0.91413,0.7418,0.88334,0.83047,0.8839,0.55067,0.74687,0.91956,0.51634,0.89886,0.000557,0.000557,0.000557
114,4049.85,0.57149,0.68583,0.43083,0.8575,0.88973,0.8547,0.90775,0.74661,0.88327,0.83203,0.88884,0.55843,0.72232,0.92219,0.52422,0.8772,0.000550813,0.000550813,0.000550813
115,4085.06,0.57593,0.68799,0.42188,0.85602,0.90846,0.8439,0.91322,0.7394,0.88912,0.82825,0.88831,0.53518,0.76979,0.98936,0.51767,0.89855,0.000544625,0.000544625,0.000544625
116,4122.26,0.58125,0.70609,0.43246,0.85923,0.87766,0.84225,0.90644,0.72947,0.85919,0.83049,0.88399,0.54867,0.78907,0.97076,0.55754,0.90647,0.000538438,0.000538438,0.000538438
117,4157.24,0.58547,0.69953,0.43903,0.86001,0.8552,0.85476,0.90273,0.72906,0.84174,0.81923,0.86853,0.53447,0.76326,0.95198,0.56234,0.89885,0.00053225,0.00053225,0.00053225
118,4196.33,0.5778,0.69241,0.42746,0.8634,0.89893,0.84406,0.90259,0.72959,0.88218,0.82857,0.88915,0.54552,0.75819,0.88314,0.54625,0.8926,0.000526063,0.000526063,0.000526063
119,4232.81,0.57178,0.68714,0.42315,0.85758,0.85929,0.85637,0.89193,0.72534,0.84174,0.84548,0.87883,0.53445,0.7468,0.90669,0.56522,0.88808,0.000519875,0.000519875,0.000519875
120,4269.75,0.56952,0.67977,0.43154,0.85695,0.8765,0.84189,0.88921,0.7301,0.85506,0.82344,0.86947,0.55439,0.74478,0.93482,0.57927,0.8915,0.000513688,0.000513688,0.000513688
121,4308.83,0.57471,0.6838,0.41909,0.85975,0.907,0.8357,0.89089,0.72898,0.8989,0.82297,0.88104,0.55194,0.75519,0.91938,0.53718,0.8924,0.0005075,0.0005075,0.0005075
122,4345.18,0.57845,0.72796,0.43211,0.86018,0.90832,0.86357,0.9043,0.73656,0.88138,0.85109,0.8832,0.5397,0.75168,0.92297,0.51259,0.89331,0.000501313,0.000501313,0.000501313
